58.0977,-135.4316,ak,hoonah
57.9608,-136.2275,ak,pelican
59.4685,-135.3018,ak,skagway
57.7808,-135.2189,ak,tenakee springs
63.952,-146.451,ak,fort greely
64.0733,-141.9361,ak,chicken
64.0378,-145.7322,ak,delta junction
64.7881,-141.2,ak,eagle
62.9617,-141.9372,ak,northway
63.3853,-143.3464,ak,tanacross
63.3367,-142.9856,ak,tok
61.471,-144.991,ak,chitina
61.977,-145.3297,ak,copper center
60.5362,-145.7534,ak,cordova
62.6682,-144.1105,ak,gakona
62.1039,-145.6617,ak,glennallen
60.8906,-146.6703,ak,tatitlek
61.101,-146.9,ak,valdez
60.7734,-148.6839,ak,whittier
62.6944,-164.6475,ak,alakanuk
61.529,-165.5905,ak,chevak
62.7818,-164.5335,ak,emmonak
61.9287,-162.268,ak,marshall
61.527,-166.1151,ak,hooper bay
63.0295,-163.5542,ak,kotlik
62.1123,-163.6644,ak,mountain village
61.9462,-162.8747,ak,pilot station
61.7744,-161.3939,ak,russian mission
62.1172,-163.2376,ak,saint marys
61.845,-165.5819,ak,scammon bay
62.1172,-163.2376,ak,sheldon point
56.9736,-133.936,ak,kake
56.8271,-133.1607,ak,petersburg
56.2497,-134.6444,ak,port alexander
56.4335,-132.3529,ak,wrangell
62.6561,-160.2067,ak,anvik
62.9036,-160.0647,ak,grayling
62.1926,-159.8251,ak,holy cross
62.9457,-155.5712,ak,mc grath
62.6822,-159.5619,ak,shageluk
62.9886,-156.0642,ak,takotna
63.0133,-154.375,ak,nikolai
66.5432,-152.7122,ak,allakaket
68.1269,-145.5378,ak,arctic village
66.3594,-147.3964,ak,beaver
65.2264,-151.0251,ak,bettles field
65.4681,-144.7489,ak,central
65.8245,-144.0826,ak,circle
66.5647,-145.2739,ak,fort yukon
64.7333,-156.9275,ak,galena
66.0382,-154.2644,ak,hughes
65.6899,-156.292,ak,huslia
64.3305,-158.7243,ak,kaltag
64.8803,-157.7008,ak,koyukuk
65.0011,-150.6339,ak,manley hot springs
63.8828,-152.3122,ak,lake minchumina
65.0584,-149.6912,ak,minto
64.5577,-149.0867,ak,nenana
64.7194,-158.1031,ak,nulato
65.509,-150.1619,ak,rampart
64.7201,-155.5039,ak,ruby
66.0064,-149.0908,ak,stevens village
65.1719,-152.0789,ak,tanana
67.0104,-146.4137,ak,venetie
66.6544,-143.7222,ak,chalkyitsik
32.4625,-86.7149,al,autaugaville
32.6596,-86.7178,al,billingsley
32.5016,-86.5727,al,booth
32.6841,-86.4946,al,marbury
32.4787,-86.43,al,prattville
32.4715,-86.4831,al,prattville
32.464,-86.4597,al,prattville
32.5104,-86.8138,al,jones
30.8635,-87.7644,al,bay minette
30.3128,-87.7431,al,bon secour
30.6197,-87.8895,al,daphne
30.6959,-87.8867,al,spanish fort
30.3942,-87.589,al,elberta
30.5012,-87.8835,al,fairhope
30.4841,-87.8606,al,fairhope
